words,count,,,군정운영
사업,612,,,인구 5만 자족도시 기반 마련
추진,603,,,지역 성장동력 기업 육성 지역경제 활성화
사업,599,,,차별화 귀농 귀촌 정책 추진 외부인구 유입
추진,428,,,주거 교통 인프라 확충 정주환경 개선
계획,284,,,농업인 행복 지역조성
계획,273,,,농업소득 증대 안전한먹거리 생산기반 구축
지원,262,,,중소농 안정화 생산 유통시장 다변화
시설,247,,,사회적가치 농업경제 육성
신규,239,,,농촌형 스마트농업 지역대표 특화작목 육성
사업비,237,,,최고수준 건강 100세 복지모델
조성,231,,,어린이 어르신 사각지대 통합돌봄시스템
필요,206,,,농촌형 복지정책
지역,204,,,공공의료 기능강화 수요자중심 의료서비스체계
완료,201,,,통합돌봄 공공의료 농촌협약 통합추진 청양형 복지모델
연계,199,,,관광객500만명 칠갑호 천장호 장곡지구 문화 관광 휴양도시
지역,199,,,지역자원 차별화 관광지개발 관광인프라
조성,191,,,문화예술 스포츠마케팅 지역축제 관광산업 활성화
지원,188,,,주민중심 지역공동체 활성화
소요,183,,,읍면주민자치회 역량강화 주민자치발전
환경,181,,,청양 스마트청양운동 고향사랑기부제
운영,180,,,행정참여 군민화합 군민화합축제
시설,171,,,민선7기 미래 청양의꿈 희망
분야,159,,,경기침체 저출산 고령화 인구감소 지역소멸 위기극복
운영,154,,,주요사업 정책발굴 인구5만 자족도시
공사,149,,,역대최대 최대규모 예산확보
군비,140,,,공모사업 국비사업 민간자본유치 가르치는지차체 성장 통합돌봄 선도사업 고령자복지주택 융복합사업 전국확산 푸드플랜 주민자치 마을만들기 청년정책 도단위 기관최대유치 지역성장 성장발판 충남사회적경제혁신타운 충남기후환경교육원 충남학생건강증진통합교육체험관
효과,140,,,선도농업군 농특산물 공동브랜드 칠갑마루 전국5대브랜드 푸드플랜 먹거리종합타운 지역활성화재단 청양먹거리직매장 대전유성점 통합형중간지원조직 기획생산 농가육성 농산물 기준가격보장제 군수품질인증제 지역먹거리 청소년 청년 청년의해 청년수당 청춘거리 쉐어하우스 누구나가게 2주살기 청년프로그램
현황,138,,,민간자본 최대규모 유치 성장동력사업 일반산업단지 비봉면 민간자본 골프장 파크골프장 남양면 구봉광산 108홀 민간아파트 청양읍 하반기 기업유치 농공단지
기대,137,,,보건의료원 의료서비스기관 최신의료장비 건강검진센터 5대암검진 암검진수검률 무료혈액종합검진 폐CT 찾아가는의료원 방문진료 충남최초 외래진료 환자증가 
구축,135,,,정주여건 삶의질향상 군민 공공임대주택 임대주택공급 교월리 고령자복지주택 서정리 도시가스 청양읍 일반농산어촌 농촌중심지 기초생활거점 농촌협약 돌봄센터 빈집정비 다목적센터 화물차 공영차고지 친환경에너지타운 청양읍 도로정비 도로확충 고속도로 
주민,133,,,인구 5만 자족도시 기반 마련
청양군,131,,,"충남사회적경제혁신타운, 충남기후환경교육원 충남 학생건강증진통합교육체험관"
설치,126,,,대규모 산업단지 지역 성장동력
센터,120,,,"일반산업단지 민간개발방식 충남소방복합시설 대규모 민간자본 골프장 파크골프장 민간아파트 기업유치 지역일자리 안정 추진체계 청양군 일자리종합플랫폼 농촌맞춤형 플랫폼 지역공동근로복지기금 법인설립 법인출연 귀농귀촌지원 지역정착 귀농귀촌 통합정보시스템 통합정보 쌍방향소통 귀농귀촌 안정정착 창업농 성공 지원사업 귀농인의집, 농업창업보육센터 정주여건 스마트복합쉼터 공공임대주택"
구축,119,,,도시가스 도시재생뉴딜사업 취약지역 생활여건개조사업 교월2리 미당1리 화양1리 인양리 화물자동차 공영차고지 광역상수도 비상공급망 운곡 청양 대치 정산 안전 쾌적 교통망 확충 매산리 군량리 면도 102호 확포장 형산리 군도7호 위험도로 개량공사 죽림교 재가설 회전교차로 지천 지곡 용천 신정리 리도201호 확포장 청수리 자동염수분사장치 도로정비평가 전국우수 도최우수 농촌개발사업 역량강화 일자리창출 농촌신활력플러스사업 사회적경제조직
설계,116,,,사회적공동체 특화단지 도농교류 거점시설 기후대응 환경사업 친환경에너지타운 생활폐기물 소각시설 자원순환처리장 복합센터 재활용선별장 휴게시설 현대화사업 
용역,115,,,농업인 행복한지역
관리,113,,,푸드플랜 전국최고 시스템구축 벤치마킹 지역활성화재단 먹거리종합타운 대전직매장 기획생산체계 기준가격보장제 군수품질인증제 한국정책학회 한국정책상 농림축산식품부 로컬푸드 농축산물
주요,111,,,유통 가공 기반확대 가격경쟁력 농특산물 유통 수출 활성화 청양더한우 브랜드개발 청양구기자 산업 활력화 명품화 청양구기자 농촌융복합산업지구 조성사업 구기자 산지유통센터 조성 먹거리종합타운 디지털 농업기반 조성 청양형스마트농업 청년맞춤 임대형 스마트팜 비대면 통합관제시스템 전국최초 농가맞춤 스마트팜 관제프로그램 시설과채 농가 기술지도 멘토링 농촌지역 개발사업
현황,110,,,농촌협약 기초생활거점조성사업 농촌신활력플러스사업 사회적공동체특화단지조성사업 고추문화마을 농촌중심지활성화사업 농촌공간정비사업 국가균형발전사업 우수기관 농식품부 행복농촌만들기 남양면 농협 지역혁신모델 칠갑마루 먹거리상생센터
농업,109,,,안정적 농업 경영기반 자연재난 피해지원 집중호우 피해농가 소득보전 지원금 공익형직물제 농어민수당지원 고추 벼 농업보조 비율상향 다목적 농촌용수개발사업 원예단지 용수체계구축 외국인근로자기숙사
복지,107,,,"100세복지모델 복지기반시설 가족문화센터 정산다목적복지관 청년 어르신 공간마련 청년의해 청소년재단 청소년의날 청소년재단 청년LAB 블루쉽하우스 누구나가게 회의실 쉐어하우스 누구나가게 내일이U센터 반값점포, 북카페"
개선,106,,,함께살아U센터 청년주거공간 전국기초단체최초 청년수당 청년친화헌정대상 종합대상 평생학습관 가족문화센터 복합화 청양군 다목적회관 
기간,104,,,소외계층 돌봄버스비 지역사회 통합돌봄 선도사업 고령자복지주택 보건복지부 모범사업선정 노인통합돌봄 고령자복지주택 융복합사업
선정,104,,,장애인 장애인복지 복지증진 권익향상 장애인회관
내용,102,,,보건의료원 공공의료기관 전문의채용 최신의료장비 검진센터 5대암검진 무료혈액종합검진 폐CT검사
준공,102,,,찾아가는의료원 방문진료사업 보건의료원 외래진료 환자증가 보건의료원 주차타워 읍면보건지소 보건진료소 리모델링 정산보건지소
정책,101,,,의료 시장형 읍면순환버스
지구,101,,,관광객 500만명시대
기관,99,,,중장기 관광개발 청수진 관광종합개발계획 관광기본계획 중장기 관광거점발굴 확장방향정립
청양군,99,,,칠갑산중심 칠갑산 3대권역 개발 칠갑호 천장호 장곡지구 칠갑타워 칠갑호 관광자원 칠갑호 관광거점 칠갑호 수상관광 천장호 생태관광 기반구축 천장알프스지구 관광인프라 알프스로가는하늘길 장곡천 수변생태 체험파크 백제문화체험박물관 진입로 확포장 백제문화체험박물관 콘텐츠강화
개선,98,,,지역자원 역사자원 관광지 개발 선비충의문화관 모덕사 사회적공동체특화단지 고추문화마을 관광 체험 힐링 중부권 복합타운 우산성 우산성복원 우산어린이테마숲 어린이테마숲 청양읍 반려동물 반려동물놀이공원 자연치유센터 어린이백제체험관
복지,98,,,스포츠마케팅 체육대회 전문체육대회 지역경제
앞,98,,,차별화 관광마케팅 민간관광 관광캐릭터 청양이 관광홍보 우리동네캐릭터 청양이 관광두레 민간관광육성 관광두레 역량강화 소규모축제 지역별축제 민간관광네트워킹 우수두레 우수관광두레 
단위,96,,,지역공동체 스마트청양 범군민운동 지역경제선순환 주민참여 소통행정 군민대토론회 연두순방 찾아가는이동군수실 상임이장회의 주민참여예산제 국민행복민원실 민원서비스 종합평가 우수기관 정책자문위원회 정책특별보좌관 주민배심원 공약이행 평가단
실시,96,,,확력 주민자치 동네자치 청양혁신플랫폼 주민소통공간 주민자치회 매니페스토 우수사례 평생학습 평생학습프로그램 평생학습센터 대치 정산 남양 목면 장평면 슬기로운노후생활 평생학습도시
성과,95,,,수요자중심 맞춤형교육 기획력제고 마음치유교육 직무교육 평생학습프로그램 정보화교육 탑클래스학습지원 온라인학습콘텐츠 멘토링 청년친화정책
활성,94,,,공동체활성화 청년수당 청년갭이어 청년월세지원 청년쉐어하우스 청년창업공간 누구나가게 블루쉽점 정산점 청년친화헌정대상 청양사랑기부제 성공적 정착기반 
교육,93,,,저출산 고령화 인구감소 지역소멸위기 핵심 성장동력 인구5만 자족도시 농업인 행복한지역 균형발전 지방소멸기금 산림자원연구소
관리,93,,,칠갑마루 푸드플랜 먹거리체계 소득증대 건강 100세 복지모델 통합돌봄 고령자복지주택 공공의료 농촌협약 관광객500만명 칠갑호 3대권역 문화 관광 휴양도시 지역공동체 행정참여 스마트청양 범군민 지역공동체 민관거버넌스 군민참여 군민체육시설 버스터미널이전 인구소멸 위험지역 삶의질 향상
문화,92,,,
강화,92,,,
환경,92,,,
주민,91,,,
농업,90,,,
확대,90,,,
예산,89,,,
문화,89,,,
활성,87,,,
평가,86,,,
지방,83,,,
확보,83,,,
방향,82,,,
대책,80,,,
변경,80,,,
유치,79,,,
주요,78,,,
활용,78,,,
도시,77,,,
기반,77,,,
홍보,77,,,
개발,76,,,
문제점,75,,,
관광,74,,,
행정,74,,,
수립,73,,,
조사,73,,,
증가,71,,,
건립,71,,,
착공,71,,,
대상,70,,,
확대,70,,,
안전,69,,,
수립,69,,,
강화,68,,,
사회,68,,,
행정,68,,,
제공,67,,,
귀01,67,,,
시스템,66,,,
홍보,66,,,
우수,66,,,
확보,65,,,
기간,65,,,
농촌,65,,,
체계,64,,,
마트,64,,,
착수,64,,,
서비스,62,,,
정비,62,,,
마트,61,,,
인구,61,,,
경제,61,,,
공급,61,,,
사회,61,,,
지속,61,,,
청년,61,,,
필요,61,,,
교육,60,,,
군민,60,,,
기본,60,,,
도시,60,,,
종합,60,,,
분야,59,,,
안전,58,,,
계층,57,,,
발굴,57,,,
업무,57,,,
취약,57,,,
정책,57,,,
경제,56,,,
관광,56,,,
농가,56,,,
사업비,56,,,
설치,56,,,
제공,56,,,
투자,56,,,
협의,56,,,
마을,55,,,
건축,55,,,
단위,55,,,
마을,55,,,
예산,55,,,
충남,55,,,
관련,54,,,
복구,54,,,
통합,54,,,
발생,53,,,
재난,53,,,
정보,53,,,
기업,53,,,
인구,53,,,
자원,52,,,
기반,51,,,
지정,50,,,
발굴,50,,,
복합,50,,,
농가,49,,,
시책,49,,,
달성,49,,,
서비스,49,,,
주택,49,,,
공간,48,,,
민원,48,,,
제고,48,,,
전국,48,,,
참여,47,,,
공간,47,,,
기준,47,,,
신청,47,,,
안정,47,,,
가구,46,,,
시스템,46,,,
증가,46,,,
체계,46,,,
청양읍,46,,,
가능,45,,,
공원,45,,,
단지,45,,,
예정,45,,,
정산,45,,,
대응,44,,,
생활,44,,,
통합,44,,,
생활,44,,,
조사,44,,,
참여,44,,,
사항,43,,,
유치,43,,,
검토,43,,,
공공,43,,,
공모,43,,,
읍01,43,,,
개발,42,,,
건강,42,,,
기타,42,,,
변화,42,,,
실시,42,,,
증대,42,,,
충남,42,,,
대응,42,,,
업무,42,,,
군민,41,,,
예방,41,,,
대상,41,,,
민원,41,,,
재해,41,,,
확충,41,,,
가공,40,,,
가족,40,,,
이용,40,,,
정비,40,,,
향상,40,,,
군06,40,,,
인증,40,,,
기업,39,,,
농촌,39,,,
업소,39,,,
연계,39,,,
타운,39,,,
생산,38,,,
부지,38,,,
시행,38,,,
중심,38,,,
센터,37,,,
용역,37,,,
이상,37,,,
농04,37,,,
신축,37,,,
육성,37,,,
이행,37,,,
전략,37,,,
처리,37,,,
체험,37,,,
국가,36,,,
노인,36,,,
개최,36,,,
목표,36,,,
자치,36,,,
절차,36,,,
축제,36,,,
학습,36,,,
활용,36,,,
향후,35,,,
다양,34,,,
주택,34,,,
단계,34,,,
발전,34,,,
역량,34,,,
일원,34,,,
정보,34,,,
회관,34,,,
구분,33,,,
재해,33,,,
주거,33,,,
지급,33,,,
먹거리,33,,,
분석,33,,,
산업,33,,,
하천,33,,,
쌀,32,,,
청년,32,,,
해소,32,,,
점10,32,,,
주차,32,,,
중점,32,,,
토지,32,,,
피해,32,,,
행복,32,,,
감소,31,,,
규모,31,,,
기존,31,,,
일자리,31,,,
지속,31,,,
장19,31,,,
과제,31,,,
규모,31,,,
농산물,31,,,
보수,31,,,
세대,31,,,
신규,31,,,
재정,31,,,
공동체,30,,,
보완,30,,,
브랜드,30,,,
조서,30,,,
편의,30,,,
공동체,30,,,
관내,30,,,
군비,30,,,
단체,30,,,
연속,30,,,
의료,30,,,
적극,30,,,
정주,30,,,
조직,30,,,
공공,29,,,
관련,29,,,
군정,29,,,
기준,29,,,
기후,29,,,
동물,29,,,
보호,29,,,
시장,29,,,
신속,29,,,
종합,29,,,
기금,29,,,
맞춤,29,,,
보건,29,,,
사용,29,,,
승인,29,,,
일자리,29,,,
혁신,29,,,
맛,28,,,
맞춤,28,,,
선정,28,,,
위험,28,,,
피해,28,,,
청,28,,,
대비,28,,,
사항,28,,,
상수도,28,,,
생산,28,,,
위원회,28,,,
인력,28,,,
지연,28,,,
진행,28,,,
대비,27,,,
민간,27,,,
비계,27,,,
악취,27,,,
처리,27,,,
축산,27,,,
프로그램,27,,,
현장,27,,,
활동,27,,,
힐01,27,,,
가능,27,,,
거점,27,,,
공동,27,,,
공약,27,,,
공원,27,,,
매입,27,,,
산림,27,,,
칠갑,27,,,
팀01,27,,,
향상,27,,,
공동,26,,,
단체,26,,,
사용,26,,,
산업,26,,,
안정,26,,,
인력,26,,,
인증,26,,,
자치,26,,,
장애인,26,,,
건강,26,,,
고령,26,,,
수상,26,,,
심의,26,,,
일01,26,,,
지표,26,,,
친화,26,,,
포장,26,,,
후08,26,,,
고추,25,,,
공약,25,,,
기본,25,,,
단지,25,,,
보급,25,,,
비용,25,,,
상담,25,,,
전략,25,,,
집중,25,,,
환급,25,,,
계약,25,,,
고추,25,,,
공정,25,,,
기능,25,,,
실적,25,,,
위험,25,,,
임대,25,,,
입주,25,,,
점검,25,,,
집중,25,,,
협력,25,,,
버스,24,,,
수요,24,,,
신청,24,,,
육성,24,,,
의료,24,,,
전문,24,,,
투자,24,,,
기존,24,,,
방안,24,,,
소멸,24,,,
소방,24,,,
양05,24,,,
재난,24,,,
정착,24,,,
협약,24,,,
계속,23,,,
관광객,23,,,
기능,23,,,
방안,23,,,
방지,23,,,
식재,23,,,
아동,23,,,
여건,23,,,
위기,23,,,
인프라,23,,,
일원,23,,,
중심,23,,,
행복,23,,,
기술,23,,,
등급,23,,,
상황,23,,,
심사,23,,,
업02,23,,,
에너,23,,,
직06,23,,,
집행,23,,,
건축,22,,,
관내,22,,,
긴급,22,,,
대상자,22,,,
방문,22,,,
보건,22,,,
절차,22,,,
확인,22,,,
미14,22,,,
건의,22,,,
곡05,22,,,
국가,22,,,
부서,22,,,
지정,22,,,
추가,22,,,
활동,22,,,
충청남도,22,,,
농04,21,,,
농산물,21,,,
면사무소,21,,,
문제점,21,,,
반려,21,,,
부동산,21,,,
부서,21,,,
사랑,21,,,
사전,21,,,
시설물,21,,,
안내,21,,,
영농,21,,,
창출,21,,,
감소,21,,,
계01,21,,,
고령,21,,,
근로,21,,,
기획,21,,,
노후,21,,,
보완,21,,,
보조,21,,,
취약,21,,,
평생,21,,,
프로,21,,,
호우,21,,,
확정,21,,,
회의,21,,,
가정,20,,,
각종,20,,,
개인,20,,,
건립,20,,,
도입,20,,,
목표,20,,,
발전,20,,,
방법,20,,,
배경,20,,,
보강,20,,,
부지,20,,,
사각지대,20,,,
소득,20,,,
시행,20,,,
자원,20,,,
재생,20,,,
충전,20,,,
취득,20,,,
컨설팅,20,,,
관계,20,,,
기초,20,,,
내용,20,,,
다양,20,,,
등록,20,,,
민선,20,,,
부족,20,,,
사례,20,,,
시설,20,,,
시장,20,,,
신속,20,,,
운06,20,,,
유지,20,,,
자연,20,,,
제고,20,,,
제작,20,,,
조례,20,,,
창출,20,,,
허가,20,,,
공무원,19,,,
공유,19,,,
기관,19,,,
꽃,19,,,
보훈,19,,,
부담,19,,,
상황,19,,,
상황실,19,,,
요구,19,,,
정산,19,,,
제작,19,,,
증진,19,,,
칠갑,19,,,
가구,19,,,
가족,19,,,
급수,19,,,
대회,19,,,
소통,19,,,
이전,19,,,
전문,19,,,
감면,18,,,
고령,18,,,
구입,18,,,
구기자,18,,,
기초,18,,,
분석,18,,,
수당,18,,,
실현,18,,,
어린이,18,,,
요금,18,,,
위치,18,,,
이미지,18,,,
자동,18,,,
자료,18,,,
정주,18,,,
지구,18,,,
행사,18,,,
허가,18,,,
화단,18,,,
효율,18,,,
협,18,,,
건설,18,,,
경영,18,,,
관01,18,,,
구성,18,,,
마케,18,,,
발생,18,,,
발주,18,,,
보고,18,,,
브랜,18,,,
빈집,18,,,
사전,18,,,
선별,18,,,
업체,18,,,
역사,18,,,
재생,18,,,
처02,18,,,
최고,18,,,
타워,18,,,
토03,18,,,
현장,18,,,
효율,18,,,
검진,17,,,
검토,17,,,
경관,17,,,
고향,17,,,
공모,17,,,
대표,17,,,
명예,17,,,
무료,17,,,
반영,17,,,
변경,17,,,
사진,17,,,
시범,17,,,
에어컨,17,,,
예술,17,,,
유도,17,,,
임대,17,,,
조직,17,,,
중요,17,,,
지적,17,,,
확충,17,,,
문01,17,,,
민02,17,,,
균형,17,,,
보강,17,,,
사08,17,,,
소득,17,,,
예방,17,,,
위01,17,,,
이용,17,,,
자치,17,,,
지소,17,,,
품목,17,,,
플랫,17,,,
행사,17,,,
활력,17,,,
대치면,17,,,
칠갑산,17,,,
구간,16,,,
구성,16,,,
근로자,16,,,
마음,16,,,
배출,16,,,
산불,16,,,
성장,16,,,
소통,16,,,
실시간,16,,,
에너지,16,,,
여성,16,,,
완료,16,,,
유산,16,,,
작물,16,,,
저감,16,,,
적극,16,,,
전국,16,,,
접수,16,,,
폐기물,16,,,
포함,16,,,
대치,16,,,
정05,16,,,
가격,16,,,
각종,16,,,
군정,16,,,
기자,16,,,
농어,16,,,
량01,16,,,
모델,16,,,
모델,16,,,
반영,16,,,
방향,16,,,
영농,16,,,
유통,16,,,
인프,16,,,
일반,16,,,
재활,16,,,
조정,16,,,
지적,16,,,
특화,16,,,
평03,16,,,
해소,16,,,
정산면,16,,,
경로당,15,,,
기부,15,,,
기여,15,,,
납부,15,,,
노후,15,,,
부족,15,,,
불편,15,,,
사업장,15,,,
식품,15,,,
업체,15,,,
역사,15,,,
위탁,15,,,
유지,15,,,
유통,15,,,
임시,15,,,
재배,15,,,
재산,15,,,
전기,15,,,
절감,15,,,
주변,15,,,
지방세,15,,,
진행,15,,,
참전,15,,,
토지,15,,,
양구,15,,,
가정,15,,,
다목,15,,,
대치,15,,,
면적,15,,,
민간,15,,,
반려,15,,,
비율,15,,,
산정,15,,,
설명,15,,,
성장,15,,,
의견,15,,,
자료,15,,,
자문,15,,,
장애,15,,,
정성,15,,,
주거,15,,,
지자,15,,,
진료,15,,,
최종,15,,,
하반,15,,,
한우,15,,,
협의,15,,,
가치,14,,,
결정,14,,,
경영,14,,,
관계,14,,,
근무,14,,,
농기계,14,,,
누수,14,,,
단계,14,,,
대기,14,,,
대여,14,,,
민선,14,,,
복원,14,,,
삶,14,,,
상수도,14,,,
상품,14,,,
수거,14,,,
전통,14,,,
조명,14,,,
지방,14,,,
캠핑,14,,,
파악,14,,,
품질,14,,,
학년,14,,,
한우,14,,,
회계,14,,,
회용,14,,,
개별,14,,,
건물,14,,,
검사,14,,,
결과,14,,,
교03,14,,,
구15,14,,,
놀이,14,,,
다리,14,,,
대상,14,,,
대표,14,,,
동물,14,,,
링01,14,,,
방문,14,,,
보급,14,,,
보상,14,,,
사랑,14,,,
산불,14,,,
상생,14,,,
상승,14,,,
상향,14,,,
수당,14,,,
쉼터,14,,,
시책,14,,,
실현,14,,,
어린,14,,,
위치,14,,,
중앙,14,,,
최초,14,,,
토양,14,,,
남양면,14,,,
경우,13,,,
고품질,13,,,
국토,13,,,
누락,13,,,
대규모,13,,,
먹거리,13,,,
면민,13,,,
보수,13,,,
산림,13,,,
소멸,13,,,
숲,13,,,
시간,13,,,
신고,13,,,
연중,13,,,
유입,13,,,
응답,13,,,
자연,13,,,
장례,13,,,
장소,13,,,
참고,13,,,
청정,13,,,
추가,13,,,
친화,13,,,
투어,13,,,
특색,13,,,
특성,13,,,
해결,13,,,
향후,13,,,
협의,13,,,
활력,13,,,
동,13,,,
광역,13,,,
매설,13,,,
목01,13,,,
법인,13,,,
부과,13,,,
부여,13,,,
스포,13,,,
시구,13,,,
어려,13,,,
업소,13,,,
위생,13,,,
이월,13,,,
이후,13,,,
장비,13,,,
재단,13,,,
적용,13,,,
제출,13,,,
창업,13,,,
청소,13,,,
체결,13,,,
체육,13,,,
축산,13,,,
특별,13,,,
판매,13,,,
공급,12,,,
교통,12,,,
글,12,,,
납세자,12,,,
능력,12,,,
대형,12,,,
명소,12,,,
문자,12,,,
사업소,12,,,
수행,12,,,
역량,12,,,
연구,12,,,
예정,12,,,
외부,12,,,
이용객,12,,,
이장,12,,,
장례식,12,,,
장비,12,,,
정화,12,,,
조기,12,,,
철쭉,12,,,
체험,12,,,
포인트,12,,,
호우,12,,,
개축,12,,,
과정,12,,,
구역,12,,,
기부,12,,,
노인,12,,,
농기,12,,,
대상,12,,,
마루,12,,,
모집,12,,,
배수,12,,,
소요,12,,,
수해,12,,,
수행,12,,,
식품,12,,,
암08,12,,,
연구,12,,,
영향,12,,,
월02,12,,,
이상,12,,,
재조,12,,,
증진,12,,,
징수,12,,,
최소,12,,,
표창,12,,,
확산,12,,,
행안부,12,,,
화성면,12,,,
개정,11,,,
개최,11,,,
거점,11,,,
결과,11,,,
근거,11,,,
금액,11,,,
기금,11,,,
기업체,11,,,
기회,11,,,
농어촌,11,,,
등산,11,,,
만족도,11,,,
면적,11,,,
모바일,11,,,
발송,11,,,
소비자,11,,,
쉼터,11,,,
시대,11,,,
여름,11,,,
연간,11,,,
예01,11,,,
예시,11,,,
요리,11,,,
위생,11,,,
일01,11,,,
저소득,11,,,
전자,11,,,
전화,11,,,
정착,11,,,
중장기,11,,,
진입,11,,,
차량,11,,,
축제,11,,,
하우스,11,,,
회의,11,,,
기10,11,,,
남양,11,,,
비,11,,,
원봉,11,,,
조성,11,,,
청양,11,,,
교체,11,,,
구조,11,,,
기업,11,,,
기여,11,,,
내부,11,,,
노력,11,,,
당초,11,,,
도입,11,,,
민원,11,,,
복지,11,,,
부담,11,,,
불가,11,,,
선도,11,,,
소독,11,,,
소비,11,,,
순환,11,,,
연면,11,,,
연장,11,,,
용09,11,,,
유관,11,,,
정기,11,,,
치유,11,,,
하수,11,,,
학생,11,,,
합01,11,,,
화성,11,,,
확장,11,,,
양구,11,,,
계약,10,,,
구조,10,,,
기계,10,,,
기술,10,,,
내역,10,,,
놀이,10,,,
담당자,10,,,
독,10,,,
미망인,10,,,
민원인,10,,,
병해충,10,,,
봄,10,,,
사계절,10,,,
사고,10,,,
사례,10,,,
사무실,10,,,
상시,10,,,
생성,10,,,
송아지,10,,,
수급,10,,,
수용,10,,,
실무,10,,,
양육,10,,,
예상,10,,,
우산,10,,,
인건비,10,,,
인식,10,,,
자동차,10,,,
자체,10,,,
재정지,10,,,
점검,10,,,
조례,10,,,
준공,10,,,
지자체,10,,,
진료,10,,,
질환,10,,,
착수,10,,,
청춘,10,,,
체류,10,,,
최소,10,,,
최초,10,,,
출동,10,,,
표지,10,,,
플랫폼,10,,,
구08,10,,,
정산,10,,,
조08,10,,,
가치,10,,,
감면,10,,,
국민,10,,,
기숙,10,,,
네트,10,,,
농공,10,,,
문화,10,,,
보장,10,,,
비용,10,,,
사업,10,,,
소각,10,,,
수리,10,,,
수시,10,,,
수용,10,,,
수입,10,,,
신설,10,,,
연구,10,,,
외국,10,,,
요구,10,,,
유도,10,,,
음04,10,,,
인근,10,,,
자재,10,,,
재산,10,,,
전체,10,,,
전환,10,,,
정리,10,,,
준비,10,,,
증대,10,,,
지방,10,,,
지상,10,,,
직원,10,,,
진입,10,,,
차별,10,,,
청렴,10,,,
체납,10,,,
최대,10,,,
컵,10,,,
특,10,,,
폐기,10,,,
포함,10,,,
품질,10,,,
학교,10,,,
홈페,10,,,
회용,10,,,
비봉면,10,,,
장평면,10,,,
환경부,10,,,
개별,9,,,
개요,9,,,
거리,9,,,
게시판,9,,,
골프장,9,,,
내판,9,,,
대상지,9,,,
대회,9,,,
마늘,9,,,
마케팅,9,,,
명품,9,,,
법률,9,,,
병04,9,,,
보장,9,,,
산지,9,,,
산출,9,,,
상승,9,,,
선제,9,,,
선포,9,,,
설계,9,,,
성공,9,,,
세탁소,9,,,
소외,9,,,
속01,9,,,
승강장,9,,,
시설비,9,,,
신축,9,,,
안내문,9,,,
안전망,9,,,
어려움,9,,,
연결,9,,,
오염,9,,,
요청,9,,,
용도,9,,,
용역비,9,,,
용품,9,,,
월02,9,,,
위원회,9,,,
음성,9,,,
음식점,9,,,
의식,9,,,
일반,9,,,
자리,9,,,
적용,9,,,
적정,9,,,
전문가,9,,,
정확,9,,,
제단,9,,,
제도,9,,,
제외,9,,,
직원,9,,,
차별,9,,,
채널,9,,,
체육,9,,,
타운,9,,,
태블릿,9,,,
테마,9,,,
퇴02,9,,,
특산물,9,,,
특화,9,,,
